date,id,habitat,site,video.file,time,species,tl,bite_on,bites
2.12.17,1,Flat,Bird,GOPR0009,0:26:31,,,,
2.12.17,1,Flat,Bird,GP010009,0:26:31,,,,
2.12.17,1,Flat,Bird,GP020009,0:26:31,,,,
2.12.17,1,Flat,Bird,GP030009,0:26:31,,,,
2.12.17,1,Flat,Bird,GP040009,0:26:31,,,,
2.12.17,1,Flat,Bird,GP050009,0:26:31,Pomacentrus chrysurus,5,Propagules,1
2.12.17,1,Flat,Bird,GP050009,,Pomacentrus chrysurus,5,Turf,1
2.12.17,1,Flat,Bird,GP060009,0:26:31,,,,
2.12.17,1,Flat,Bird,GP070009,0:10:13,Pomacentrus chrysurus,5,Turf,1
2.12.17,2,Flat,Bird,GOPR0022,0:26:31,Ecsenius stictus,2,Propagules,4
2.12.17,2,Flat,Bird,GOPR0022,,Ecsenius stictus,3,Propagules,10
2.12.17,2,Flat,Bird,GOPR0022,,Ecsenius stictus,3,Turf,28
2.12.17,2,Flat,Bird,GOPR0022,,Ecsenius stictus,3,Propagules,20
2.12.17,2,Flat,Bird,GOPR0022,,Ecsenius stictus,3,Turf,12
2.12.17,2,Flat,Bird,GP010022,0:26:31,Ecsenius stictus,3,Propagules,11
2.12.17,2,Flat,Bird,GP010022,,Ecsenius stictus,3,Turf,4
2.12.17,2,Flat,Bird,GP010022,,Ecsenius stictus,3,Turf,24
2.12.17,2,Flat,Bird,GP010022,,Ecsenius stictus,2,Turf,13
2.12.17,2,Flat,Bird,GP010022,,Ecsenius stictus,3,Turf,6
2.12.17,2,Flat,Bird,GP010022,,Ecsenius stictus,3,Turf,27
2.12.17,2,Flat,Bird,GP010022,,Ecsenius stictus,3,Turf,11
2.12.17,2,Flat,Bird,GP010022,,Salarias fasciatus,10,Propagules,4
2.12.17,2,Flat,Bird,GP010022,,Salarias fasciatus,10,Turf,1
2.12.17,2,Flat,Bird,GP010022,,Ecsenius stictus,3,Propagules,6
2.12.17,2,Flat,Bird,GP010022,,Ecsenius stictus,3,Turf,14
2.12.17,2,Flat,Bird,GP010022,,Ecsenius stictus,3,Turf,15
2.12.17,2,Flat,Bird,GP020022,0:26:31,Ecsenius stictus,3,Propagules,20
2.12.17,2,Flat,Bird,GP020022,,Ecsenius stictus,3,Propagules,13
2.12.17,2,Flat,Bird,GP020022,,Ecsenius stictus,3,Turf,12
2.12.17,2,Flat,Bird,GP020022,,Ecsenius stictus,3,Turf,14
2.12.17,2,Flat,Bird,GP020022,,Ecsenius stictus,3,Turf,11
2.12.17,2,Flat,Bird,GP020022,,Ecsenius stictus,3,Propagules,9
2.12.17,2,Flat,Bird,GP020022,,Ecsenius stictus,3,Turf,20
2.12.17,2,Flat,Bird,GP020022,,Ecsenius stictus,3,Propagules,19
2.12.17,2,Flat,Bird,GP020022,,Ecsenius stictus,3,Propagules,25
